"BatchId","CurrentPath","ArchiveTarget","TargetParentDirectory","CurrentPathExists","ArchiveTargetExists","LiveSourceRefCount","LiveSourceRefFiles","ReplacementRule","ZeroReferenceConfirmed","HumanNavigationRisk","ScriptsRefs","TestsRefs","OverwriteRisk","PostMoveValidationCommand"
"agent-board-plus-docs-04","docs/v7_227_prompt_package_builder_taskbook_gate.md","docs/archive/phases/v7/v7_227_prompt_package_builder_taskbook_gate.md","docs\archive\phases\v7","True","False","1","docs\product_image_workflow_runbook.md","docs/v7_227_prompt_package_builder_taskbook_gate.md -> docs/archive/phases/v7/v7_227_prompt_package_builder_taskbook_gate.md","False","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"agent-board-plus-docs-04","docs/v7_228_product_image_prompt_package_template_instance_gate.md","docs/archive/phases/v7/v7_228_product_image_prompt_package_template_instance_gate.md","docs\archive\phases\v7","True","False","1","docs\v7_228_product_image_prompt_package_template_instance_gate.md","docs/v7_228_product_image_prompt_package_template_instance_gate.md -> docs/archive/phases/v7/v7_228_product_image_prompt_package_template_instance_gate.md","False","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"agent-board-plus-docs-04","docs/v7_229_prompt_package_human_review_checklist_gate.md","docs/archive/phases/v7/v7_229_prompt_package_human_review_checklist_gate.md","docs\archive\phases\v7","True","False","1","docs\v7_229_prompt_package_human_review_checklist_gate.md","docs/v7_229_prompt_package_human_review_checklist_gate.md -> docs/archive/phases/v7/v7_229_prompt_package_human_review_checklist_gate.md","False","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"agent-board-plus-docs-04","docs/v7_230_prompt_package_a5_authorization_handoff_gate.md","docs/archive/phases/v7/v7_230_prompt_package_a5_authorization_handoff_gate.md","docs\archive\phases\v7","True","False","1","docs\v7_230_prompt_package_a5_authorization_handoff_gate.md","docs/v7_230_prompt_package_a5_authorization_handoff_gate.md -> docs/archive/phases/v7/v7_230_prompt_package_a5_authorization_handoff_gate.md","False","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"agent-board-plus-docs-04","docs/v7_231_review_console_asset_status_taxonomy_gate.md","docs/archive/phases/v7/v7_231_review_console_asset_status_taxonomy_gate.md","docs\archive\phases\v7","True","False","1","docs\v7_231_review_console_asset_status_taxonomy_gate.md","docs/v7_231_review_console_asset_status_taxonomy_gate.md -> docs/archive/phases/v7/v7_231_review_console_asset_status_taxonomy_gate.md","False","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"agent-board-plus-docs-04","docs/v7_232_memory_suitability_decision_matrix_gate.md","docs/archive/phases/v7/v7_232_memory_suitability_decision_matrix_gate.md","docs\archive\phases\v7","True","False","1","docs\v7_232_memory_suitability_decision_matrix_gate.md","docs/v7_232_memory_suitability_decision_matrix_gate.md -> docs/archive/phases/v7/v7_232_memory_suitability_decision_matrix_gate.md","False","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"agent-board-plus-docs-04","docs/v7_237_product_image_generation_authorization_draft_gate.md","docs/archive/phases/v7/v7_237_product_image_generation_authorization_draft_gate.md","docs\archive\phases\v7","True","False","0","","docs/v7_237_product_image_generation_authorization_draft_gate.md -> docs/archive/phases/v7/v7_237_product_image_generation_authorization_draft_gate.md","True","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"agent-board-plus-docs-04","docs/v7_240_product_image_generation_plan_authorization_match_review_gate.md","docs/archive/phases/v7/v7_240_product_image_generation_plan_authorization_match_review_gate.md","docs\archive\phases\v7","True","False","1","docs\v7_240_product_image_generation_plan_authorization_match_review_gate.md","docs/v7_240_product_image_generation_plan_authorization_match_review_gate.md -> docs/archive/phases/v7/v7_240_product_image_generation_plan_authorization_match_review_gate.md","False","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"agent-board-plus-docs-04","docs/v7_241_product_image_authorization_draft_plan_ref_alignment_gate.md","docs/archive/phases/v7/v7_241_product_image_authorization_draft_plan_ref_alignment_gate.md","docs\archive\phases\v7","True","False","2","docs\v7_241_product_image_authorization_draft_plan_ref_alignment_gate.md; docs\v7_242_product_image_authorization_activation_gap_review_gate.md","docs/v7_241_product_image_authorization_draft_plan_ref_alignment_gate.md -> docs/archive/phases/v7/v7_241_product_image_authorization_draft_plan_ref_alignment_gate.md","False","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"agent-board-plus-docs-04","docs/v7_242_product_image_authorization_activation_gap_review_gate.md","docs/archive/phases/v7/v7_242_product_image_authorization_activation_gap_review_gate.md","docs\archive\phases\v7","True","False","1","docs\v7_242_product_image_authorization_activation_gap_review_gate.md","docs/v7_242_product_image_authorization_activation_gap_review_gate.md -> docs/archive/phases/v7/v7_242_product_image_authorization_activation_gap_review_gate.md","False","False","","","False","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
