"CurrentPath","ArchiveTarget","LiveSourceRefCount","ZeroReferenceConfirmed"
"docs/v7_227_prompt_package_builder_taskbook_gate.md","docs/archive/phases/v7/v7_227_prompt_package_builder_taskbook_gate.md","1","False"
"docs/v7_228_product_image_prompt_package_template_instance_gate.md","docs/archive/phases/v7/v7_228_product_image_prompt_package_template_instance_gate.md","1","False"
"docs/v7_229_prompt_package_human_review_checklist_gate.md","docs/archive/phases/v7/v7_229_prompt_package_human_review_checklist_gate.md","1","False"
"docs/v7_230_prompt_package_a5_authorization_handoff_gate.md","docs/archive/phases/v7/v7_230_prompt_package_a5_authorization_handoff_gate.md","1","False"
"docs/v7_231_review_console_asset_status_taxonomy_gate.md","docs/archive/phases/v7/v7_231_review_console_asset_status_taxonomy_gate.md","1","False"
"docs/v7_232_memory_suitability_decision_matrix_gate.md","docs/archive/phases/v7/v7_232_memory_suitability_decision_matrix_gate.md","1","False"
"docs/v7_237_product_image_generation_authorization_draft_gate.md","docs/archive/phases/v7/v7_237_product_image_generation_authorization_draft_gate.md","0","True"
"docs/v7_240_product_image_generation_plan_authorization_match_review_gate.md","docs/archive/phases/v7/v7_240_product_image_generation_plan_authorization_match_review_gate.md","1","False"
"docs/v7_241_product_image_authorization_draft_plan_ref_alignment_gate.md","docs/archive/phases/v7/v7_241_product_image_authorization_draft_plan_ref_alignment_gate.md","2","False"
"docs/v7_242_product_image_authorization_activation_gap_review_gate.md","docs/archive/phases/v7/v7_242_product_image_authorization_activation_gap_review_gate.md","1","False"
"docs/v7_243_product_image_active_authorization_package_skeleton_gate.md","docs/archive/phases/v7/v7_243_product_image_active_authorization_package_skeleton_gate.md","1","False"
"docs/v7_51e_read_only_bridge_adapter_schema_validation_report.md","docs/archive/phases/v7/v7_51e_read_only_bridge_adapter_schema_validation_report.md","0","True"
"docs/v7_51e_read_only_bridge_adapter_schema_validation_result.yaml","docs/archive/phases/v7/v7_51e_read_only_bridge_adapter_schema_validation_result.yaml","0","True"
"docs/v7_51f_read_only_bridge_adapter_security_gate_validation_report.md","docs/archive/phases/v7/v7_51f_read_only_bridge_adapter_security_gate_validation_report.md","0","True"
"docs/v7_51f_read_only_bridge_adapter_security_gate_validation_result.yaml","docs/archive/phases/v7/v7_51f_read_only_bridge_adapter_security_gate_validation_result.yaml","0","True"
"docs/v7_51g_read_only_bridge_adapter_fixture_regression_report.md","docs/archive/phases/v7/v7_51g_read_only_bridge_adapter_fixture_regression_report.md","0","True"
"docs/v7_51g_read_only_bridge_adapter_fixture_regression_result.yaml","docs/archive/phases/v7/v7_51g_read_only_bridge_adapter_fixture_regression_result.yaml","0","True"
"docs/v8_003a_A4_8_safe_project_operator_rail_package.md","docs/archive/phases/v8/v8_003a_A4_8_safe_project_operator_rail_package.md","1","False"
"docs/v8_024_second_product_prompt_v2_static_review_gate.md","docs/archive/phases/v8/v8_024_second_product_prompt_v2_static_review_gate.md","1","False"
"docs/v8_032_second_product_post_persistence_fix_generation_authorization_gate.md","docs/archive/phases/v8/v8_032_second_product_post_persistence_fix_generation_authorization_gate.md","1","False"
